3	0	1
30	0	1
113	0	1
81	0	1
115	0	1
9	0	1
2	0	1
91	0	1
112	0	1
15	0	1
138	0	1
50	0	1
77	0	1
24	0	1
108	0	1
88	0	1
670	0	1
120	0	1
26	0	1
114	0	1
325	0	1
55	0	1
242	0	1
68	0	1
422	0	1
180	0	1
10	0	1
1146	0	1
600	0	1
15	0	1
36	0	1
4	0	1
0	0	1
8	0	1
227	0	1
65	0	1
176	0	1
58	0	1
457	0	1
300	0	1
97	0	1
263	0	1
452	0	1
255	0	1
197	0	1
193	0	1
6	0	1
79	0	1
816	0	1
1351	0	1
148	0	1
21	0	1
233	0	1
134	0	1
357	0	1
193	0	1
236	0	1
31	0	1
369	0	1
748	0	1
0	0	1
232	0	1
330	0	1
365	0	1
1222	0	1
543	0	1
10	0	1
16	0	1
529	0	1
379	0	1
44	0	1
129	0	1
810	0	1
290	0	1
300	0	1
529	0	1
281	0	1
160	0	1
828	0	1
1011	0	1
445	0	1
296	0	1
1755	0	1
1064	0	1
1783	0	1
860	0	1
983	0	1
707	0	1
33	0	1
868	0	1
724	0	1
2323	0	1
2930	0	1
1461	0	1
843	0	1
12	0	1
261	0	1
1800	0	1
865	0	1
1435	0	1
30	0	1
143	0	1
108	0	1
0	0	1
3110	0	1
1247	0	1
943	0	1
700	0	1
875	0	1
245	0	1
729	0	1
1897	0	1
447	0	1
386	0	1
446	0	1
122	0	1
990	0	1
948	0	1
1082	0	1
22	0	1
75	0	1
482	0	1
5509	0	1
100	0	1
10	0	1
1071	0	1
371	0	1
790	0	1
6150	0	1
3321	0	1
1045	0	1
648	0	1
5485	0	1
1160	0	1
1864	0	1
4116	0	1
2526	0	0
